Method,R_e,A@e,RA@e,max info loss,gini threshold,p value
SPH+CPI,6,0.42,3.246031746031746,0.1,0.4,0.75
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.4,0.75
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.4,0.75
SPH+CPI,9,0.51,4.065359477124183,0.1,0.4,0.75
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.4,0.75
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.4,0.8
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.4,0.8
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.4,0.8
SPH+CPI,4,0.29,2.218390804597701,0.1,0.4,0.8
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.4,0.8
SPH+CPI,6,0.42,3.246031746031746,0.1,0.4,0.8
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.4,0.8
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.4,0.8
SPH+CPI,9,0.51,4.065359477124183,0.1,0.4,0.8
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.4,0.8
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.4,0.85
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.4,0.85
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.4,0.85
SPH+CPI,4,0.29,2.218390804597701,0.1,0.4,0.85
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.4,0.85
SPH+CPI,6,0.42,3.246031746031746,0.1,0.4,0.85
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.4,0.85
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.4,0.85
SPH+CPI,9,0.51,4.065359477124183,0.1,0.4,0.85
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.4,0.85
SPH+CPI,1,0.0933333333333333,1.0,0.1,0.4,0.9
SPH+CPI,2,0.1833333333333333,1.490909090909091,0.1,0.4,0.9
SPH+CPI,3,0.24,1.8472222222222223,0.1,0.4,0.9
SPH+CPI,4,0.29,2.218390804597701,0.1,0.4,0.9
SPH+CPI,5,0.35,2.6952380952380954,0.1,0.4,0.9
SPH+CPI,6,0.42,3.246031746031746,0.1,0.4,0.9
SPH+CPI,7,0.4566666666666666,3.5474452554744524,0.1,0.4,0.9
SPH+CPI,8,0.4833333333333333,3.793103448275862,0.1,0.4,0.9
SPH+CPI,9,0.51,4.065359477124183,0.1,0.4,0.9
SPH+CPI,10,0.5333333333333333,4.325,0.1,0.4,0.9
SPH+CPI,1,0.1033333333333333,1.0,0.15,0.2,0.7
SPH+CPI,2,0.2033333333333333,1.4918032786885247,0.15,0.2,0.7
SPH+CPI,3,0.2466666666666666,1.7567567567567568,0.15,0.2,0.7
SPH+CPI,4,0.3,2.1555555555555554,0.15,0.2,0.7
SPH+CPI,5,0.36,2.6296296296296298,0.15,0.2,0.7
SPH+CPI,6,0.4166666666666667,3.088,0.15,0.2,0.7
SPH+CPI,7,0.46,3.4565217391304346,0.15,0.2,0.7
SPH+CPI,8,0.4933333333333333,3.7635135135135136,0.15,0.2,0.7
SPH+CPI,9,0.5166666666666667,4.0,0.15,0.2,0.7
SPH+CPI,10,0.54,4.25925925925926,0.15,0.2,0.7
SPH+CPI,1,0.0966666666666666,1.0,0.15,0.2,0.75
SPH+CPI,2,0.1866666666666666,1.4821428571428572,0.15,0.2,0.75
SPH+CPI,3,0.24,1.8194444444444444,0.15,0.2,0.75
SPH+CPI,4,0.2833333333333333,2.152941176470588,0.15,0.2,0.75
SPH+CPI,5,0.3433333333333333,2.650485436893204,0.15,0.2,0.75
SPH+CPI,6,0.4066666666666667,3.172131147540984,0.15,0.2,0.75
SPH+CPI,7,0.46,3.6159420289855073,0.15,0.2,0.75
SPH+CPI,8,0.4933333333333333,3.9121621621621614,0.15,0.2,0.75
SPH+CPI,9,0.5166666666666667,4.141935483870967,0.15,0.2,0.75
SPH+CPI,10,0.5433333333333333,4.429447852760736,0.15,0.2,0.75
SPH+CPI,1,0.0933333333333333,1.0,0.15,0.2,0.8
SPH+CPI,2,0.1866666666666666,1.5,0.15,0.2,0.8
